Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
PDX,"Portland, OR: Portland International",528,300,11,43,124,1361,13,3386
PHL,"Philadelphia, PA: Philadelphia International",623,1278,2,106,240,2536,59,5853
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1495,1082,35,146,362,4101,48,13734
SAN,"San Diego, CA: San Diego International",708,323,8,37,150,1688,12,5938
SEA,"Seattle, WA: Seattle/Tacoma International",1036,917,19,54,203,2796,42,5725
SFO,"San Francisco, CA: San Francisco International",976,1368,17,69,326,3398,8,7333
SLC,"Salt Lake City, UT: Salt Lake City International",1141,320,27,172,240,2890,4,9040
TPA,"Tampa, FL: Tampa International",636,510,4,35,58,1727,6,5309
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1797,2644,9,414,879,6653,82,24652
BOS,"Boston, MA: Logan International",792,826,5,111,268,2375,6,8809
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",579,366,6,40,106,1389,0,7359
CLT,"Charlotte, NC: Charlotte Douglas International",782,1159,0,54,160,2687,22,7530
DCA,"Washington, DC: Ronald Reagan Washington National",464,622,3,62,206,1603,14,5980
DEN,"Denver, CO: Denver International",1983,1787,11,169,465,5790,13,13789
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2353,2247,12,634,1707,6439,80,17165
