Airport_Code,Airport_Name,Late_Aircraft,Delays_NAS,Delays_Security,Delays_Weather,Flights_Cancelled,Flights_Delayed,Flights_Diverted,Flights_OnTime
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2144,1669,5,174,315,4940,33,19435
DTW,"Detroit, MI: Detroit Metro Wayne County",505,533,4,62,79,1608,6,8622
EWR,"Newark, NJ: Newark Liberty International",1076,2691,9,92,232,4297,37,8769
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",362,302,1,32,9,974,7,5224
IAD,"Washington, DC: Washington Dulles International",650,335,1,34,145,1389,36,6393
IAH,"Houston, TX: George Bush Intercontinental/Houston",1310,1710,6,71,134,3665,92,14377
JFK,"New York, NY: John F. Kennedy International",551,861,9,32,30,1874,20,6705
LAS,"Las Vegas, NV: McCarran International",1432,1155,9,51,78,3513,15,11632
LAX,"Los Angeles, CA: Los Angeles International",1389,1439,13,62,171,4226,10,14464
LGA,"New York, NY: LaGuardia",632,1570,2,115,177,2796,29,7403
MCO,"Orlando, FL: Orlando International",669,493,3,48,16,1715,11,8759
MDW,"Chicago, IL: Chicago Midway International",724,526,7,82,51,1696,83,6327
MIA,"Miami, FL: Miami International",305,339,1,31,20,1017,3,4716
MSP,"Minneapolis, MN: Minneapolis-St Paul International",451,503,8,77,74,1547,46,8560
ORD,"Chicago, IL: Chicago O'Hare International",2252,3978,2,157,769,7637,86,22206
PDX,"Portland, OR: Portland International",365,136,6,15,13,825,0,3797
PHL,"Philadelphia, PA: Philadelphia International",641,1222,3,81,90,2383,15,6714
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1239,1074,16,49,144,3309,12,14121
SAN,"San Diego, CA: San Diego International",614,457,6,25,50,1667,6,5745
SEA,"Seattle, WA: Seattle/Tacoma International",707,441,8,19,44,1660,6,6814
SFO,"San Francisco, CA: San Francisco International",771,1818,7,54,213,3413,3,7195
SLC,"Salt Lake City, UT: Salt Lake City International",543,311,6,67,68,1486,4,9844
TPA,"Tampa, FL: Tampa International",473,272,3,27,10,1098,5,5452
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1638,3988,8,341,311,7534,32,26414
BOS,"Boston, MA: Logan International",743,2301,1,132,210,3699,21,6994
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",834,369,5,61,51,1721,15,7237
CLT,"Charlotte, NC: Charlotte Douglas International",596,638,1,49,108,1881,28,7763
DCA,"Washington, DC: Ronald Reagan Washington National",526,540,1,79,131,1585,14,6343
DEN,"Denver, CO: Denver International",1157,955,8,56,151,3114,32,16635
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2537,1476,5,173,305,5165,17,20235
DTW,"Detroit, MI: Detroit Metro Wayne County",551,701,3,151,89,1944,10,8589
EWR,"Newark, NJ: Newark Liberty International",1014,2738,6,114,211,4302,48,8844
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",373,375,3,36,8,1083,23,4386
IAD,"Washington, DC: Washington Dulles International",710,361,3,27,114,1525,13,6433
IAH,"Houston, TX: George Bush Intercontinental/Houston",1461,1949,9,139,244,4165,159,14502
JFK,"New York, NY: John F. Kennedy International",469,784,5,67,58,1727,42,6648
LAS,"Las Vegas, NV: McCarran International",1225,967,9,72,89,2954,6,12753
LAX,"Los Angeles, CA: Los Angeles International",1256,981,12,84,199,3535,17,16016
LGA,"New York, NY: LaGuardia",639,2165,2,201,253,3455,74,7041
MCO,"Orlando, FL: Orlando International",686,545,2,50,26,1766,27,8330
MDW,"Chicago, IL: Chicago Midway International",777,574,6,112,56,1879,42,6523
MIA,"Miami, FL: Miami International",327,453,1,37,51,1149,34,4460
MSP,"Minneapolis, MN: Minneapolis-St Paul International",428,448,3,95,60,1466,22,9041
ORD,"Chicago, IL: Chicago O'Hare International",2507,4881,2,211,1202,8995,124,21655
PDX,"Portland, OR: Portland International",349,188,4,16,21,841,2,4017
PHL,"Philadelphia, PA: Philadelphia International",643,1117,1,88,63,2315,21,6876
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",950,619,11,48,160,2473,11,15490
SAN,"San Diego, CA: San Diego International",532,308,3,34,53,1343,9,6491
SEA,"Seattle, WA: Seattle/Tacoma International",605,520,5,39,48,1704,10,7558
SFO,"San Francisco, CA: San Francisco International",775,758,7,34,147,2347,6,8605
SLC,"Salt Lake City, UT: Salt Lake City International",402,239,5,36,87,1163,5,10528
TPA,"Tampa, FL: Tampa International",479,339,3,33,11,1190,1,4943
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2276,3086,8,638,693,8470,177,24447
BOS,"Boston, MA: Logan International",962,2125,3,186,367,3963,19,6397
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1072,727,6,178,92,2582,41,6371
CLT,"Charlotte, NC: Charlotte Douglas International",815,764,0,103,229,2558,29,6550
DCA,"Washington, DC: Ronald Reagan Washington National",558,907,3,118,271,2078,70,5375
DEN,"Denver, CO: Denver International",1489,1171,11,109,263,4082,76,15675
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2349,1279,9,152,322,4930,23,19946
DTW,"Detroit, MI: Detroit Metro Wayne County",650,888,7,220,186,2445,39,7726
EWR,"Newark, NJ: Newark Liberty International",1260,2922,9,139,610,4923,142,7633
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",529,404,2,50,21,1380,8,3834
IAD,"Washington, DC: Washington Dulles International",903,604,3,54,364,2188,40,5246
IAH,"Houston, TX: George Bush Intercontinental/Houston",1760,1754,15,103,319,4620,218,14248
JFK,"New York, NY: John F. Kennedy International",776,1381,6,135,123,2858,53,5708
LAS,"Las Vegas, NV: McCarran International",1697,932,10,73,111,3632,18,11752
LAX,"Los Angeles, CA: Los Angeles International",1537,1006,9,121,215,4033,17,15438
LGA,"New York, NY: LaGuardia",838,2323,1,210,532,3947,79,6154
MCO,"Orlando, FL: Orlando International",927,780,4,93,34,2512,10,7220
MDW,"Chicago, IL: Chicago Midway International",1054,555,7,108,70,2312,33,6111
MIA,"Miami, FL: Miami International",456,543,3,68,64,1496,21,3872
MSP,"Minneapolis, MN: Minneapolis-St Paul International",554,568,7,162,86,1980,20,8824
ORD,"Chicago, IL: Chicago O'Hare International",3219,2927,12,216,773,8121,62,22330
PDX,"Portland, OR: Portland International",533,263,4,27,25,1217,3,3792
PHL,"Philadelphia, PA: Philadelphia International",749,1419,2,165,117,2969,45,5637
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1250,965,18,121,218,3630,49,13972
SAN,"San Diego, CA: San Diego International",656,374,12,41,74,1656,34,6129
SEA,"Seattle, WA: Seattle/Tacoma International",981,830,9,65,54,2566,7,7109
SFO,"San Francisco, CA: San Francisco International",1011,1062,8,64,147,3107,5,7869
SLC,"Salt Lake City, UT: Salt Lake City International",683,412,11,78,105,1926,8,10116
TPA,"Tampa, FL: Tampa International",670,408,3,50,15,1583,21,4332
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2622,2757,6,539,682,8836,63,25838
BOS,"Boston, MA: Logan International",873,1402,2,202,328,3163,27,7654
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",959,698,5,118,89,2319,18,6943
CLT,"Charlotte, NC: Charlotte Douglas International",777,766,2,97,161,2488,17,7063
DCA,"Washington, DC: Ronald Reagan Washington National",506,891,2,138,262,2028,34,5473
DEN,"Denver, CO: Denver International",1617,1070,7,120,231,4157,14,16532
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1880,1217,7,201,463,4467,116,20883
DTW,"Detroit, MI: Detroit Metro Wayne County",659,866,6,115,139,2402,12,8466
EWR,"Newark, NJ: Newark Liberty International",1340,2779,13,118,572,4799,209,8039
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",518,395,2,57,31,1344,13,3985
IAD,"Washington, DC: Washington Dulles International",957,577,3,64,286,2292,14,5426
IAH,"Houston, TX: George Bush Intercontinental/Houston",1877,2068,13,160,229,4989,158,14544
JFK,"New York, NY: John F. Kennedy International",946,1511,9,157,185,3253,145,6095
LAS,"Las Vegas, NV: McCarran International",1663,980,11,116,144,3788,40,11975
LAX,"Los Angeles, CA: Los Angeles International",1601,1149,13,140,257,4329,48,15854
LGA,"New York, NY: LaGuardia",762,1963,1,184,632,3539,136,6445
MCO,"Orlando, FL: Orlando International",954,702,1,80,45,2401,27,7708
MDW,"Chicago, IL: Chicago Midway International",960,540,3,115,76,2148,22,6578
MIA,"Miami, FL: Miami International",476,580,2,91,57,1598,10,3955
MSP,"Minneapolis, MN: Minneapolis-St Paul International",639,558,9,136,73,2044,28,9083
ORD,"Chicago, IL: Chicago O'Hare International",3136,3339,6,235,1202,8457,88,22143
PDX,"Portland, OR: Portland International",503,182,1,33,33,1100,3,4133
PHL,"Philadelphia, PA: Philadelphia International",759,1569,2,153,117,3162,40,5949
